location,year,emissions,group
Myanmar,1882,122126,low
Ethiopia,1960,121403,low
Canada,1861,120950,high
Democratic Republic of Congo,1967,120931,low
Canada,1862,120665,high
Democratic Republic of Congo,1996,120581,low
Canada,1865,119946,high
Democratic Republic of Congo,1995,118842,low
Canada,2021,118449,high
Canada,2022,117883,high
Canada,1860,116970,high
Ethiopia,1959,116876,low
Canada,2016,116861,high
Canada,2011,116555,high
Canada,2012,115782,high
Myanmar,2004,115563,low
Democratic Republic of Congo,1994,114904,low
United States,2020,114729,high
Canada,1863,114494,high
Democratic Republic of Congo,1968,114440,low
United States,1998,112859,high
Democratic Republic of Congo,1993,112699,low
Ethiopia,1958,112495,low
United States,2019,112161,high
Canada,2009,111133,high
Democratic Republic of Congo,1970,111039,low
Myanmar,1958,110402,low
Myanmar,2011,110373,low
Myanmar,2014,109997,low
Myanmar,1881,109754,low
Democratic Republic of Congo,1971,109351,low
United States,1963,109263,high
Democratic Republic of Congo,1969,108909,low
Ethiopia,1957,108807,low
United States,2018,108298,high
Canada,1859,108280,high
Myanmar,2012,107705,low
Democratic Republic of Congo,1972,106274,low
Myanmar,2016,105505,low
Ethiopia,1964,105432,low
Ethiopia,1950,104659,low
Ethiopia,1956,104198,low
Democratic Republic of Congo,1973,103477,low
Ethiopia,2014,103071,low
United States,1997,103047,high
Myanmar,2013,103034,low
Ethiopia,2011,102899,low
Ethiopia,1968,102786,low
Canada,1858,102694,high
Canada,1857,102268,high
Myanmar,1960,100876,low
Ethiopia,1955,100597,low
Ethiopia,1961,100395,low
Myanmar,2015,100315,low
Ethiopia,1965,100098,low
Ethiopia,1962,100062,low
Democratic Republic of Congo,1985,100044,low
Myanmar,1957,99920,low
Ethiopia,1951,99865,low
Myanmar,1999,99310,low
Myanmar,2017,99283,low
United States,1995,98968,high
Myanmar,2003,98007,low
Myanmar,2000,97759,low
Ethiopia,1954,97732,low
Ethiopia,1971,97049,low
Ethiopia,1952,97024,low
Myanmar,2018,96594,low
Myanmar,2022,96381,low
Canada,2010,95847,high
Democratic Republic of Congo,1935,95799,low
Myanmar,2019,95746,low
Democratic Republic of Congo,1939,95739,low
Myanmar,2021,95634,low
Ethiopia,2012,95380,low
Myanmar,2020,95378,low
Ethiopia,1953,94961,low
Ethiopia,1967,94807,low
Ethiopia,1966,94756,low
Democratic Republic of Congo,1984,93621,low
Democratic Republic of Congo,1938,93125,low
Canada,1856,92573,high
Ethiopia,1970,92475,low
Myanmar,1956,91792,low
Democratic Republic of Congo,1936,91624,low
Democratic Republic of Congo,1983,91400,low
Canada,1855,90841,high
Myanmar,1921,90764,low
Democratic Republic of Congo,1937,90252,low
Democratic Republic of Congo,1975,89988,low
Ethiopia,2013,89287,low
Democratic Republic of Congo,1980,88869,low
Canada,1853,88644,high
Democratic Republic of Congo,1933,87932,low
Democratic Republic of Congo,1986,87405,low
Canada,1854,87265,high
Democratic Republic of Congo,1991,87221,low
Democratic Republic of Congo,1974,86952,low
Ethiopia,1963,86433,low
Ethiopia,1969,86106,low
Democratic Republic of Congo,1992,86049,low
Democratic Republic of Congo,1934,85892,low
Democratic Republic of Congo,1976,85809,low
Democratic Republic of Congo,1932,85081,low
Myanmar,1965,84674,low
Democratic Republic of Congo,1981,84537,low
Democratic Republic of Congo,1990,84365,low
Democratic Republic of Congo,1982,83730,low
Myanmar,1961,83698,low
Myanmar,2002,83607,low
Myanmar,1963,83593,low
Democratic Republic of Congo,1979,83592,low
Canada,1852,83571,high
Myanmar,1955,82978,low
Myanmar,2001,82335,low
Democratic Republic of Congo,1987,81841,low
Ethiopia,1972,81743,low
Democratic Republic of Congo,1977,81276,low
Democratic Republic of Congo,1989,81192,low
United States,1964,80946,high
United States,1996,80214,high
Democratic Republic of Congo,1988,78985,low
Democratic Republic of Congo,1931,76426,low
Myanmar,1962,75829,low
Democratic Republic of Congo,1978,75182,low
Myanmar,1954,73353,low
Myanmar,1998,73339,low
Canada,1851,72571,high
Canada,1850,72316,high
Myanmar,1922,71924,low
Ethiopia,1973,71297,low
Myanmar,1966,70931,low
Myanmar,1880,69560,low
Democratic Republic of Congo,1930,69456,low
United States,1961,69442,high
United States,2016,67828,high
Myanmar,1964,65096,low
United States,2003,64132,high
Ethiopia,1974,63590,low
Myanmar,1953,62980,low
Myanmar,1967,61915,low
Myanmar,1995,59849,low
Myanmar,1865,59178,low
Myanmar,1923,59153,low
Myanmar,1856,58927,low
Myanmar,1873,58869,low
Ethiopia,1975,58201,low
Myanmar,1969,58130,low
Myanmar,1858,57937,low
Myanmar,1853,57816,low
Democratic Republic of Congo,1929,57806,low
Myanmar,1855,57763,low
Myanmar,1860,57279,low
Myanmar,1968,57242,low
Myanmar,1867,56789,low
Myanmar,1996,56727,low
Myanmar,1994,56707,low
Myanmar,1992,56688,low
Myanmar,1862,56584,low
Myanmar,1866,56533,low
Myanmar,1863,55788,low
Myanmar,1868,55388,low
Myanmar,1864,55059,low
Myanmar,1874,55019,low
Myanmar,1854,54962,low
Ethiopia,1976,54271,low
Ethiopia,1949,54052,low
Democratic Republic of Congo,1925,53886,low
Myanmar,1870,53714,low
Myanmar,1859,53516,low
Myanmar,1970,53423,low
Myanmar,1851,53355,low
Ethiopia,1948,53293,low
Myanmar,1861,53290,low
Ethiopia,1947,53239,low
Democratic Republic of Congo,1928,53179,low
Democratic Republic of Congo,1927,53155,low
Myanmar,1997,53072,low
Ethiopia,1944,52964,low
Democratic Republic of Congo,1924,52945,low
Myanmar,1872,52927,low
Ethiopia,1945,52857,low
Ethiopia,1946,52771,low
Myanmar,1852,52260,low
Democratic Republic of Congo,1926,52068,low
Myanmar,1877,52029,low
Ethiopia,1943,51980,low
Myanmar,1869,51973,low
Myanmar,1875,51955,low
Myanmar,1876,51948,low
Myanmar,1924,51712,low
Myanmar,1993,51708,low
Myanmar,1952,51659,low
Myanmar,1971,51266,low
Ethiopia,1942,50657,low
Ethiopia,1977,50627,low
United States,1965,50148,high
Myanmar,1871,49992,low
Ethiopia,1941,49850,low
Myanmar,1879,49640,low
Myanmar,1857,49605,low
Ethiopia,1940,48929,low
Myanmar,1878,48880,low
Democratic Republic of Congo,1923,48701,low
Ethiopia,1978,48110,low
Democratic Republic of Congo,1922,47822,low
Ethiopia,1939,47807,low
Ethiopia,1938,47282,low
Ethiopia,1937,46430,low
United States,2014,46376,high
Myanmar,1925,46190,low
Myanmar,1991,46142,low
Ethiopia,1936,45865,low
Ethiopia,1935,45164,low
United States,2005,44344,high
Ethiopia,1934,44029,low
Myanmar,1990,43757,low
Myanmar,1850,43602,low
Ethiopia,1933,43456,low
Democratic Republic of Congo,1921,43075,low
United States,2001,42849,high
Ethiopia,1931,42576,low
Ethiopia,1932,42429,low
Myanmar,1926,42356,low
Ethiopia,1930,41483,low
Myanmar,1982,40368,low
Myanmar,1981,40291,low
Ethiopia,1869,39817,low
Myanmar,1983,39742,low
Ethiopia,1850,39667,low
Myanmar,1927,39640,low
Ethiopia,1929,39457,low
Myanmar,1951,39407,low
Myanmar,1980,39304,low
Ethiopia,1928,39176,low
Ethiopia,1979,39054,low
Ethiopia,1927,39015,low
Ethiopia,1863,38983,low
Ethiopia,1860,38788,low
Ethiopia,1881,38728,low
Ethiopia,1861,38723,low
Ethiopia,1882,38666,low
Ethiopia,1855,38596,low
Ethiopia,1894,38557,low
Ethiopia,1868,38516,low
Ethiopia,1895,38484,low
Ethiopia,1853,38462,low
Ethiopia,1851,38379,low
Ethiopia,1867,38374,low
Ethiopia,1866,38316,low
Ethiopia,1897,38304,low
Ethiopia,1865,38300,low
Myanmar,1928,38275,low
Ethiopia,1858,38248,low
Ethiopia,1874,38240,low
Ethiopia,1887,38153,low
Ethiopia,1852,38145,low
Democratic Republic of Congo,1920,38143,low
Ethiopia,1904,38090,low
Ethiopia,1883,37961,low
Ethiopia,1890,37956,low
Ethiopia,1864,37949,low
Ethiopia,1854,37920,low
Ethiopia,1876,37817,low
Ethiopia,1877,37803,low
Ethiopia,1871,37800,low
Ethiopia,1878,37793,low
Ethiopia,1873,37708,low
Ethiopia,1856,37641,low
Ethiopia,1926,37608,low
Ethiopia,1889,37607,low
Ethiopia,1898,37555,low
Ethiopia,1859,37544,low
Myanmar,1984,37530,low
Ethiopia,1899,37519,low
Ethiopia,1884,37465,low
Ethiopia,1872,37452,low
Ethiopia,1892,37438,low
Ethiopia,1857,37395,low
Ethiopia,1870,37095,low
Ethiopia,1886,37066,low
Ethiopia,1862,37024,low
Ethiopia,1879,36959,low
Myanmar,1989,36951,low
Ethiopia,1880,36949,low
United States,1966,36932,high
Ethiopia,1896,36928,low
Ethiopia,1888,36925,low
Ethiopia,1875,36925,low
Ethiopia,1907,36813,low
Ethiopia,1885,36807,low
Ethiopia,1903,36771,low
Ethiopia,1906,36728,low
Ethiopia,1893,36692,low
Ethiopia,1914,36441,low
Ethiopia,1909,36198,low
Ethiopia,1891,36187,low
Democratic Republic of Congo,1918,36169,low
Ethiopia,1900,36166,low
Ethiopia,1925,36096,low
Ethiopia,1922,35946,low
Myanmar,1929,35906,low
Ethiopia,1905,35844,low
Myanmar,1985,35703,low
Ethiopia,1910,35589,low
Ethiopia,1902,35568,low
Ethiopia,1918,35555,low
Ethiopia,1924,35501,low
Ethiopia,1919,35276,low
Ethiopia,1912,35118,low
Ethiopia,1908,35038,low
Ethiopia,1901,35012,low
Ethiopia,1911,34996,low
Ethiopia,1923,34968,low
Ethiopia,1921,34600,low
Ethiopia,1913,34558,low
Ethiopia,1916,34503,low
Democratic Republic of Congo,1919,34243,low
Ethiopia,1917,34149,low
Democratic Republic of Congo,1915,33856,low
Myanmar,1979,33808,low
Ethiopia,1915,33780,low
Ethiopia,1920,33683,low
Myanmar,1930,33219,low
